Product Title,Price,Rating (⭐ out of 5),No. of Ratings
"REDMI 12 (Pastel Blue, 128 GB)","₹11,390",4.2,72610
"REDMI 12 (Jade Black, 128 GB)","₹7,999",4.2,72610
"REDMI 12 (Moonstone Silver, 128 GB)","₹11,590",4.2,72610
"REDMI 12 (Moonstone Silver, 128 GB)","₹12,999",4.3,109099
"REDMI 12 (Pastel Blue, 128 GB)","₹9,499",4.3,109099
"Redmi 12 5G 128 GB, 6 GB RAM, Black, Mobile Phone","12,499.00",4.7,140
"Redmi 12 5G 128 GB, 6 GB RAM, Silver, Mobile Phone","12,499.00",4.7,101
"Redmi 12 5G 128 GB, 6 GB RAM, Blue, Mobile Phone","12,499.00",4.6,56
"Redmi 12 5G 256 GB, 8 GB RAM, Black, Mobile Phone","14,499.00",4.6,7
"Redmi 12 5G 256 GB, 8 GB RAM, Blue, Mobile Phone","14,499.00",4.8,13
"Redmi 12 5G (8GB RAM, 256GB, Pastel Blue)","₹13,994",3.9,11
"Redmi 12 5G (6GB RAM, 128GB, Moonstone Silver)","₹16,499",3.9,11
"Redmi Note 12 Pro 5G (12GB RAM, 256GB, Stardust Purple)","₹12,499",3.9,11
"Redmi 12 5G (8GB RAM, 256GB, Moonstone Silver)","₹14,499",3.5,15
"Redmi Note 12 Pro+ 5G (12GB RAM, 256GB, White)","₹26,099",3.5,15
"REDMI 12 (Pastel Blue, 128 GB)","₹11,390",4.2,72610
"REDMI 12 (Jade Black, 128 GB)","₹7,999",4.2,72610
"REDMI 12 (Moonstone Silver, 128 GB)","₹11,590",4.2,72610
"REDMI 12 (Moonstone Silver, 128 GB)","₹12,999",4.3,109099
"REDMI 12 (Pastel Blue, 128 GB)","₹9,499",4.3,109099
"Redmi 12 5G 128 GB, 6 GB RAM, Black, Mobile Phone","12,499.00",4.7,140
"Redmi 12 5G 128 GB, 6 GB RAM, Silver, Mobile Phone","12,499.00",4.7,101
"Redmi 12 5G 128 GB, 6 GB RAM, Blue, Mobile Phone","12,499.00",4.6,56
"Redmi 12 5G 256 GB, 8 GB RAM, Black, Mobile Phone","14,499.00",4.6,7
"Redmi 12 5G 256 GB, 8 GB RAM, Blue, Mobile Phone","14,499.00",4.8,13
"Redmi 12 5G (8GB RAM, 256GB, Pastel Blue)","₹13,994",3.9,11
"Redmi 12 5G (6GB RAM, 128GB, Moonstone Silver)","₹16,499",3.9,11
"Redmi Note 12 Pro 5G (12GB RAM, 256GB, Stardust Purple)","₹12,499",3.9,11
"Redmi 12 5G (8GB RAM, 256GB, Moonstone Silver)","₹14,499",3.5,15
"Redmi Note 12 Pro+ 5G (12GB RAM, 256GB, White)","₹26,099",3.5,15
"REDMI 12 (Pastel Blue, 128 GB)","₹11,390",4.2,72610
"REDMI 12 (Jade Black, 128 GB)","₹7,999",4.2,72610
"REDMI 12 (Moonstone Silver, 128 GB)","₹11,590",4.2,72610
"REDMI 12 (Moonstone Silver, 128 GB)","₹12,999",4.3,109099
"REDMI 12 (Pastel Blue, 128 GB)","₹9,499",4.3,109099
"Redmi 12 5G 128 GB, 6 GB RAM, Black, Mobile Phone","12,499.00",4.7,140
"Redmi 12 5G 128 GB, 6 GB RAM, Silver, Mobile Phone","12,499.00",4.7,101
"Redmi 12 5G 128 GB, 6 GB RAM, Blue, Mobile Phone","12,499.00",4.6,56
"Redmi 12 5G 256 GB, 8 GB RAM, Black, Mobile Phone","14,499.00",4.6,7
"Redmi 12 5G 256 GB, 8 GB RAM, Blue, Mobile Phone","14,499.00",4.8,13
"Redmi 12 5G (8GB RAM, 256GB, Pastel Blue)","₹13,994",3.9,11
